link,name,id_obj,type,moving,inpath,distance,time_stamp,obj_near
https://drive.google.com/file/d/1riWeGnb-F2lhzlx3QDDRX31c9PAPNN9h/view?usp=sharing,Bird1,1,Bird,true,false,0.5,:00,true
https://drive.google.com/file/d/1riWeGnb-F2lhzlx3QDDRX31c9PAPNN9h/view?usp=sharing,Bird1,1,Bird,true,false,0.5,:01,true
https://drive.google.com/file/d/1riWeGnb-F2lhzlx3QDDRX31c9PAPNN9h/view?usp=sharing,Bird1,1,Bird,true,false,0.5,:02,true
https://drive.google.com/file/d/1riWeGnb-F2lhzlx3QDDRX31c9PAPNN9h/view?usp=sharing,Bird1,1,Bird,true,false,0.5,:03,true
https://drive.google.com/file/d/1riWeGnb-F2lhzlx3QDDRX31c9PAPNN9h/view?usp=sharing,Bird1,1,Bird,true,false,0.5,:04,true
https://drive.google.com/file/d/1riWeGnb-F2lhzlx3QDDRX31c9PAPNN9h/view?usp=sharing,Bird1,1,Bird,true,false,0.5,:05,true
https://drive.google.com/file/d/1riWeGnb-F2lhzlx3QDDRX31c9PAPNN9h/view?usp=sharing,Bird1,1,Bird,true,false,0.5,:06,true
https://drive.google.com/file/d/1riWeGnb-F2lhzlx3QDDRX31c9PAPNN9h/view?usp=sharing,Bird1,1,Bird,true,false,0.5,:07,true
https://drive.google.com/file/d/1riWeGnb-F2lhzlx3QDDRX31c9PAPNN9h/view?usp=sharing,Bird1,1,Bird,true,false,0.5,:08,true
https://drive.google.com/file/d/1riWeGnb-F2lhzlx3QDDRX31c9PAPNN9h/view?usp=sharing,Bird1,1,Bird,true,false,0.5,:09,true
https://drive.google.com/file/d/1riWeGnb-F2lhzlx3QDDRX31c9PAPNN9h/view?usp=sharing,Bird1,1,Bird,true,false,0.5,:10,true
https://drive.google.com/file/d/1riWeGnb-F2lhzlx3QDDRX31c9PAPNN9h/view?usp=sharing,Bird1,1,Bird,true,false,0.5,:11,true
